# Abbrev	DST?	Zone Name
PKT		Asia/Karachi
IST		Asia/Kolkata
# CST		Asia/Macau
WITA		Asia/Makassar
# PST		Asia/Manila
# EEST	1	Asia/Nicosia
# EET		Asia/Nicosia
# WIB		Asia/Pontianak
# KST		Asia/Pyongyang
KST		Asia/Seoul
# CST		Asia/Shanghai
# CST		Asia/Taipei
JST		Asia/Tokyo
# ADT	1	Atlantic/Bermuda
# AST		Atlantic/Bermuda
# WEST	1	Atlantic/Canary
# WET		Atlantic/Canary
# WEST	1	Atlantic/Faroe
# WET		Atlantic/Faroe
# WEST	1	Atlantic/Madeira
# WET		Atlantic/Madeira
# GMT		Atlantic/Reykjavik
# GMT		Atlantic/St_Helena
ACDT	1	Australia/Adelaide
ACST		Australia/Adelaide
# AEST		Australia/Brisbane
# ACDT	1	Australia/Broken_Hill
# ACST		Australia/Broken_Hill
# ACST		Australia/Darwin
# AEDT	1	Australia/Hobart
# AEST		Australia/Hobart
# AEST		Australia/Lindeman
# AEDT	1	Australia/Melbourne
# AEST		Australia/Melbourne
AWST		Australia/Perth
AEDT	1	Australia/Sydney
AEST		Australia/Sydney
# CEST	1	Europe/Amsterdam
# CET		Europe/Amsterdam
# CEST	1	Europe/Andorra
# CET		Europe/Andorra
# EEST	1	Europe/Athens
# EET		Europe/Athens
# CEST	1	Europe/Belgrade
# CET		Europe/Belgrade
# CEST	1	Europe/Berlin
# CET		Europe/Berlin
# CEST	1	Europe/Bratislava
# CET		Europe/Bratislava
# CEST	1	Europe/Brussels
# CET		Europe/Brussels
# EEST	1	Europe/Bucharest
# EET		Europe/Bucharest
# CEST	1	Europe/Budapest
# CET		Europe/Budapest
# CEST	1	Europe/Busingen
# CET		Europe/Busingen
# EEST	1	Europe/Chisinau
# EET		Europe/Chisinau
# CEST	1	Europe/Copenhagen
# CET		Europe/Copenhagen
# GMT		Europe/Dublin
# IST	1	Europe/Dublin
# CEST	1	Europe/Gibraltar
# CET		Europe/Gibraltar
# BST	1	Europe/Guernsey
# GMT		Europe/Guernsey
# EEST	1	Europe/Helsinki
# EET		Europe/Helsinki
# BST	1	Europe/Isle_of_Man
# GMT		Europe/Isle_of_Man
# BST	1	Europe/Jersey
# GMT		Europe/Jersey
# EET		Europe/Kaliningrad
# MSK		Europe/Kirov
EEST	1	Europe/Kyiv
EET		Europe/Kyiv
WEST	1	Europe/Lisbon
WET		Europe/Lisbon
# CEST	1	Europe/Ljubljana
# CET		Europe/Ljubljana
BST	1	Europe/London
GMT		Europe/London
# CEST	1	Europe/Luxembourg
# CET		Europe/Luxembourg
# CEST	1	Europe/Madrid
# CET		Europe/Madrid
# CEST	1	Europe/Malta
# CET		Europe/Malta
# EEST	1	Europe/Mariehamn
# EET		Europe/Mariehamn
# CEST	1	Europe/Monaco
# CET		Europe/Monaco
MSK		Europe/Moscow
# CEST	1	Europe/Oslo
# CET		Europe/Oslo
CEST	1	Europe/Paris
CET		Europe/Paris
# CEST	1	Europe/Podgorica
# CET		Europe/Podgorica
# CEST	1	Europe/Prague
# CET		Europe/Prague
# EEST	1	Europe/Riga
# EET		Europe/Riga
# CEST	1	Europe/Rome
# CET		Europe/Rome
# CEST	1	Europe/San_Marino
# CET		Europe/San_Marino
# CEST	1	Europe/Sarajevo
# CET		Europe/Sarajevo
# MSK		Europe/Simferopol
# CEST	1	Europe/Skopje
# CET		Europe/Skopje
# EEST	1	Europe/Sofia
# EET		Europe/Sofia
# CEST	1	Europe/Stockholm
# CET		Europe/Stockholm
# EEST	1	Europe/Tallinn
# EET		Europe/Tallinn
# CEST	1	Europe/Tirane
# CET		Europe/Tirane
# CEST	1	Europe/Vaduz
# CET		Europe/Vaduz
# CEST	1	Europe/Vatican
# CET		Europe/Vatican
# CEST	1	Europe/Vienna
# CET		Europe/Vienna
# EEST	1	Europe/Vilnius
# EET		Europe/Vilnius
# MSK		Europe/Volgograd
# CEST	1	Europe/Warsaw
# CET		Europe/Warsaw
# CEST	1	Europe/Zagreb
# CET		Europe/Zagreb
# CEST	1	Europe/Zurich
# CET		Europe/Zurich
# EAT		Indian/Antananarivo
# EAT		Indian/Comoro
# EAT		Indian/Mayotte
NZDT	1	Pacific/Auckland
NZST		Pacific/Auckland
ChST		Pacific/Guam
# HST		Pacific/Honolulu
SST		Pacific/Midway
# SST		Pacific/Pago_Pago
# ChST		Pacific/Saipan
